{input difference of the middle part, output mask of the middle part, correlation}

{{0x1, 0x8, -10.3469966},
{0x1, 0x80, -9.6781768},
{0x1, 0x8000, -10.2368822},
{0x1, 0x80000, -10.7647438},
{0x1, 0x8000000, -10.045068599999999},
{0x1, 0x8000000000, -10.5213514},
{0x1, 0x80000000000, -9.8948504},
{0x1, 0x800000000000, -10.2345854},
{0x1, 0x8000000000000000, -9.651216600000001},
{0x2, 0x4, -10.9416848},
{0x1000000000002, 0x400000, -11.035205000000001},
{0x4, 0x800, -10.7912626},
{0x4000000000008, 0x8000, -11.1610892},
{0x10, 0x8, -10.7571298},
{0x10, 0x8000, -9.675934},
{0x10, 0x100000, -10.9912026},
{0x10, 0x800000, -9.854967},
{0x10, 0x80000000, -10.022911599999999},
{0x10, 0x800000000, -10.552142},
{0x10, 0x80000000000, -10.1927548},
{0x10, 0x80000000000000, -10.130775600000002},
{0x10, 0x800000000000000, -10.029114600000002},
{0x10, 0x8000000000000000, -10.0474802},
{0x100, 0x8, -10.2726834},
{0x100, 0x80, -10.222863},
{0x100, 0x800, -9.9144282},
{0x100, 0x8000, -9.5645092},
{0x100, 0x80000000, -9.5276842},
{0x100, 0x800000000, -10.3005392},
{0x100, 0x8000000000, -9.9946466},
{0x100, 0x800000000000, -9.9671296},
{0x1000, 0x800, -10.050853},
{0x1000, 0x800000, -10.2739882},
{0x1000, 0x8000000, -9.9073},
{0x1000, 0x80000000, -9.571090600000002},
{0x1000, 0x800000000000, -9.8687086},
{0x1000, 0x80000000000000, -9.883470400000002},
{0x1000, 0x8000000000000000, -9.824020999999998},
{0x20001000, 0x4000000, -11.2257786},
{0x8000000000001000, 0x400000000, -11.1891836},
{0x8000000000001000, 0x100000000000, -11.0884732},
{0x2000, 0x80000000000, -10.773839400000002},
{0x40002000, 0x800000, -10.825004400000001},
{0x4000, 0x4000, -11.2210386},
{0x8000, 0x10000, -10.784961},
{0x10000, 0x8, -10.047311400000002},
{0x10000, 0x80, -10.5067742},
{0x10000, 0x800, -9.662897000000001},
{0x10000, 0x800000, -10.116242199999999},
{0x10000, 0x80000000, -10.2946692},
{0x10000, 0x800000000, -10.4543306},
{0x10000, 0x8000000000, -9.744772800000002},
{0x10000, 0x80000000000, -9.965678200000001},
{0x10000, 0x80000000000000, -10.083412},
{0x10000, 0x800000000000000, -9.5682412},
{0x20000, 0x800000000000000, -10.401684},
{0x100000, 0x200, -10.5526618},
{0x100000, 0x800, -9.546404399999998},
{0x100000, 0x80000, -9.765866599999999},
{0x100000, 0x800000, -10.059962},
{0x100000, 0x8000000, -9.9202054},
{0x100000, 0x80000000, -10.508513000000002},
{0x100000, 0x8000000000, -10.6704896},
{0x100000, 0x80000000000000, -10.1259988},
{0x100000, 0x800000000000000, -9.8181894},
{0x200000, 0x800, -10.674959399999999},
{0x8000400000, 0x40000000, -10.9033308},
{0x8000400000, 0x4000000000, -10.734617599999998},
{0x1000000, 0x8, -10.424924800000001},
{0x1000000, 0x80, -9.845272},
{0x1000000, 0x800, -9.849327800000001},
{0x1000000, 0x8000, -10.299524200000002},
{0x1000000, 0x8000000, -9.3190392},
{0x1000000, 0x800000000, -9.4897128},
{0x1000000, 0x8000000000, -10.3366624},
{0x1000000, 0x80000000000, -10.0731072},
{0x1000000, 0x800000000000, -10.333936399999999},
{0x1000000, 0x80000000000000, -10.1991586},
{0x800000002000000, 0x20000000000, -10.804587999999999},
{0x80004000000, 0x1000000000000000, -10.941774200000001},
{0x100000004000000, 0x1000000000000000, -10.8515084},
{0x8000000, 0x800000000000, -10.902269},
{0x10000000, 0x80000, -10.347742799999999},
{0x10000000, 0x8000000, -9.9125894},
{0x10000000, 0x8000000000, -10.5455362},
{0x10000000, 0x80000000000, -9.8342388},
{0x10000000, 0x8000000000000, -9.6494026},
{0x10000000, 0x80000000000000, -10.4554026},
{0x10000000, 0x800000000000000, -9.9888212},
{0x10000000, 0x8000000000000000, -10.200604},
{0x20000000, 0x200000000000000, -10.8460476},
{0x20000000, 0x800000000000000, -10.286825799999999},
{0x40000000, 0x8000000, -10.8934074},
{0x80000000, 0x10000, -10.7561896},
{0x100000000, 0x80, -9.549203},
{0x100000000, 0x800, -10.9095312},
{0x100000000, 0x8000, -9.7762422},
{0x100000000, 0x8000000000, -9.8861716},
{0x100000000, 0x80000000000, -10.5467452},
{0x100000000, 0x80000000000000, -9.5517118},
{0x200000000, 0x8000000000000, -10.4456978},
{0x400000000, 0x8000000000000, -10.609561},
{0x8000400000000, 0x400, -10.481851800000001},
{0x800000000, 0x2000000000000000, -11.144267600000001},
{0x1000000000, 0x8, -10.538107},
{0x1000000000, 0x80, -9.8108592},
{0x1000000000, 0x800000, -10.072934799999999},
{0x1000000000, 0x8000000, -10.391133199999999},
{0x1000000000, 0x80000000, -9.7508212},
{0x1000000000, 0x800000000, -9.9278476},
{0x1000000000, 0x8000000000000, -9.6885484},
{0x1000000000, 0x80000000000000, -9.505586},
{0x1000000000, 0x8000000000000000, -10.4003882},
{0x2000000000, 0x8, -10.364431199999999},
{0x8000000000, 0x800000000000000, -11.0663462},
{0x10000000000, 0x8, -9.8883014},
{0x10000000000, 0x80, -9.825683999999999},
{0x10000000000, 0x800000, -9.4434348},
{0x10000000000, 0x800000000, -10.828280799999998},
{0x10000000000, 0x8000000000, -10.3227128},
{0x10000000000, 0x800000000000, -9.7140912},
