{input difference of the middle part, output mask of the middle part, correlation}

[[0x20, 0x1, 0x0, 0x10, -9.6355936], 
[0x20, 0x1, 0x0, 0x20, -9.0432488], 
[0x20, 0x1, 0x0, 0x40, -9.6453378], 
[0x20, 0x1, 0x0, 0x80, -9.3347674], 
[0x20, 0x1, 0x0, 0x1000, -9.191042999999999], 
[0x20, 0x1, 0x0, 0x2000, -8.9749442], 
[0x20, 0x1, 0x0, 0x4000, -9.071347], 
[0x20, 0x1, 0x0, 0x8000, -9.745227600000002], 
[0x20, 0x1, 0x0, 0x20000, -11.026763], 
[0x20, 0x1, 0x0, 0x1000000, -11.3266954], 
[0x20, 0x1, 0x0, 0x2000000, -11.3886912], 
[0x20, 0x1, 0x0, 0x4000000, -11.334906], 
[0x20, 0x1, 0x0, 0x8000000, -10.859295000000001], 
[0x40, 0x2, 0x0, 0x10, -9.749577400000002], 
[0x40, 0x2, 0x0, 0x20, -9.2612788], 
[0x40, 0x2, 0x0, 0x40, -9.5925946], 
[0x40, 0x2, 0x0, 0x80, -9.441808], 
[0x40, 0x2, 0x0, 0x1000, -8.816274], 
[0x40, 0x2, 0x0, 0x2000, -8.7960808], 
[0x40, 0x2, 0x0, 0x4000, -8.91119], 
[0x40, 0x2, 0x0, 0x8000, -9.8075318], 
[0x40, 0x2, 0x0, 0x8000000, -11.235476599999998], 
[0x40, 0x2, 0x800, 0x0, -11.9322518], 
[0x80, 0x4, 0x0, 0x10, -9.684831800000001], 
[0x80, 0x4, 0x0, 0x20, -9.3001492], 
[0x80, 0x4, 0x0, 0x40, -9.6390052], 
[0x80, 0x4, 0x0, 0x80, -10.1673508], 
[0x80, 0x4, 0x0, 0x1000, -11.237491799999999], 
[0x80, 0x4, 0x0, 0x2000, -11.504648], 
[0x80, 0x4, 0x0, 0x10000, -11.010276200000002], 
[0x80, 0x4, 0x0, 0x20000, -9.496064800000001], 
[0x80, 0x4, 0x0, 0x40000, -10.3707924], 
[0x80, 0x4, 0x0, 0x80000, -9.742486], 
[0x80, 0x4, 0x0, 0x1000000, -10.8201992], 
[0x80, 0x4, 0x0, 0x2000000, -10.9158614], 
[0x80, 0x4, 0x0, 0x4000000, -10.632405799999999], 
[0x80, 0x4, 0x0, 0x20000000, -11.2067516], 
[0x80, 0x4, 0x0, 0x80000000, -11.071773400000001], 
[0x80, 0x4, 0x400, 0x0, -11.801286999999999], 
[0x100, 0x8, 0x0, 0x10, -10.8027062], 
[0x100, 0x8, 0x0, 0x20, -10.812236], 
[0x100, 0x8, 0x0, 0x40, -11.1483662], 
[0x100, 0x8, 0x0, 0x80, -11.4498434], 
[0x200, 0x10, 0x0, 0x100, -9.5670388], 
[0x200, 0x10, 0x0, 0x200, -8.9677802], 
[0x200, 0x10, 0x0, 0x400, -9.6625822], 
[0x200, 0x10, 0x0, 0x800, -9.4526888], 
[0x200, 0x10, 0x0, 0x10000, -9.0477504], 
[0x200, 0x10, 0x0, 0x20000, -9.048925800000001], 
[0x200, 0x10, 0x0, 0x40000, -9.0784048], 
[0x200, 0x10, 0x0, 0x80000, -9.9954674], 
[0x200, 0x10, 0x0, 0x20000000, -10.949152600000001], 
