{input difference of the middle part, output mask of the middle part, correlation}

{{0x1, 0x40, -10.900962400000001}, 
{0x1000000000002, 0x800, -11.036614}, 
{0x4, 0x1, -10.778899}, 
{0x20, 0x8000, -10.8887172}, 
{0x20, 0x100000000000, -10.8373086}, 
{0x40, 0x2000000000000000, -11.1904514}, 
{0x100080, 0x10000000000, -10.822355199999999}, 
{0x40000000000080, 0x2000000000, -11.018205}, 
{0x2000100, 0x800, -10.6611124}, 
{0x4000200, 0x400000000, -10.837019399999999}, 
{0x4000, 0x4000000000, -11.019871400000001}, 
{0x80004000, 0x800, -11.126573800000001}, 
{0x100000004000, 0x4000000000000000, -11.1441116}, 
{0x100080000, 0x80000000000, -10.861784199999999}, 
{0x100000, 0x200, -10.665928599999999}, 
{0x10000000400000, 0x2000, -10.6417296}, 
{0x2000000, 0x1, -11.1162022}, 
{0x80004000000, 0x10000000000000, -11.126596600000001}, 
{0x100000004000000, 0x400, -10.949324199999998}, 
{0x8000000, 0x800, -10.968932200000001}, 
{0x10000000, 0x100000000, -10.779940200000002}, 
{0x8000400000000, 0x10000000000, -11.003017}, 
{0x800000000, 0x1, -10.426723800000001}, 
{0x1000800000000, 0x8000, -11.0257724}, 
{0x2000000, 0x1, -11.1162022}, 
{0x80004000000, 0x10000000000000, -11.126596600000001}, 
{0x100000004000000, 0x400, -10.949324199999998}, 
{0x8000000, 0x800, -10.968932200000001}, 
{0x10000000, 0x100000000, -10.779940200000002}, 
{0x8000400000000, 0x10000000000, -11.003017}, 
{0x800000000, 0x1, -10.426723800000001}, 
{0x1000800000000, 0x8000, -11.0257724}, 
{0x4000200000000000, 0x2000, -11.1734646}, 
{0x1000000000000, 0x100, -11.146763799999999}, 
{0x1000000000000, 0x2000000000000, -10.8546552}, 
{0x8000000000000, 0x4000000000000, -11.0564826}, 
{0x800000000000000, 0x800000, -10.7792374}}
