{input difference of the middle part, output mask of the middle part, correlation}

{{0x200000002, 0x200000, -11.449541}, 
{0x8, 0x400000000000000, -11.480440600000001}, 
{0x10000000000010, 0x400000, -11.5372876}, 
{0x20000000000020, 0x10, -11.2822116}, 
{0x40, 0x800000000000, -11.478653}, 
{0x400040, 0x4000000000000000, -11.6860792}, 
{0x100, 0x200000, -11.2506252}, 
{0x1000100, 0x8000000, -11.6451492}, 
{0x20000000200, 0x2, -11.468035}, 
{0x800, 0x80000000, -11.1230638}, 
{0x8000800, 0x8000, -11.437242799999998}, 
{0x1000, 0x80000000, -11.2356716}, 
{0x1000, 0x40000000000000, -11.191830799999998}, 
{0x100000001000, 0x2000000000, -11.601590999999999}, 
{0x2000, 0x1000000000000, -11.399915199999999}, 
{0x20002000, 0x2000000000000, -11.4535324}, 
{0x20002000, 0x4000000000000, -11.475336000000002}, 
{0x40004000, 0x4000000, -11.4502158}, 
{0x800000008000, 0x2000000000, -11.5020524}, 
{0x1000000010000, 0x8000000, -11.1796004}, 
{0x20000, 0x80000000000000, -11.416677400000001}, 
{0x40000, 0x80000000000000, -11.378328199999999}, 
{0x8000000080000, 0x20, -11.5705466}, 
{0x100000, 0x200000, -11.1410884}, 
{0x100000, 0x20000000, -11.0837852}, 
{0x200000, 0x8000000000000000, -10.9932224}, 
{0x400000, 0x40000000, -11.3800128}, 
{0x100000001000000, 0x20000000, -11.328098}, 
{0x100000001000000, 0x80000000, -11.295981000000001}, 
{0x2000000, 0x4000000, -11.4211762}, 
{0x2000000, 0x40000000, -11.4534772}, 
{0x200000002000000, 0x80000, -11.5596188}, 
{0x200020000000, 0x400000000, -11.2832126}, 
{0x400040000000, 0x8000, -11.490147400000001}, 
{0x8000000080000000, 0x2000000, -11.7399478}, 
{0x100000000, 0x200, -11.2627876}, 
{0x4000400000000, 0x4, -11.6107332}, 
{0x800000000, 0x8000000, -11.5065082}, 
{0x10001000000000, 0x10000000000000, -11.264548399999999}, 
{0x200020000000000, 0x10000, -11.5687464}, 
{0x40000000000, 0x80000000000000, -11.3793156}, 
{0x1000100000000000, 0x10000000000, -11.358258600000001}, 
{0x400000000000, 0x40000000000000, -11.32489}, 
{0x10000000000000, 0x4000, -11.2703266}, 
{0x80000000000000, 0x20, -11.594389}, 
{0x200000000000000, 0x200000000000000, -11.4683144}}
