[input difference of the middle part, the inactive mask of the middle part]
[0x1, 0x8000888008088088],
[0x2, 0x4],
[0x1000000000002, 0x400000],
[0x4, 0x800],
[0x4000000000008, 0x8000],
[0x10, 0x8880080880908008],
[0x100, 0x808880008888],
[0x1000, 0x8080800088800800],
[0x20001000, 0x4000000],
[0x8000000000001000, 0x100400000000],
[0x2000, 0x80000000000],
[0x40002000, 0x800000],
[0x4000, 0x4000],
[0x8000, 0x10000],
[0x10000, 0x880088880800888],
[0x20000, 0x800000000000000],
[0x100000, 0x880008088880a00],
[0x200000, 0x800],
[0x8000400000, 0x4040000000],
[0x1000000, 0x80888808008888],
[0x800000002000000, 0x20000000000],
[0x80004000000, 0x1000000000000000],
[0x100000004000000, 0x1000000000000000],
[0x8000000, 0x800000000000],
[0x10000000, 0x8888088008080000],
[0x20000000, 0xa00000000000000],
[0x40000000, 0x8000000],
[0x80000000, 0x10000],
[0x100000000, 0x80088000008880],
[0x200000000, 0x8000000000000],
[0x400000000, 0x8000000000000],
[0x8000400000000, 0x400],
[0x800000000, 0x2000000000000000],
[0x1000000000, 0x8088000888800088],
[0x2000000000, 0x8],
[0x8000000000, 0x800000000000000],
[0x10000000000, 0x800808800800088],
[0x20000000000, 0x800000],
[0x100000000000, 0x8880008888880008],
[0x200000000000, 0x8000000000],
[0x400000000000, 0x80000],
[0x800000000000, 0x800000000000000],
[0x1000000000000, 0x8088888800800880],
[0x2000000000000, 0x8000000000000],
[0x10000000000000, 0xc008888008880008],
[0x20000000000000, 0x8000],
[0x100000000000000, 0x8000080800088008],
[0x200000000000000, 0x8000000],
[0x1000000000000000, 0x880000800888080],
[0x4000000000000000, 0x200000000],
