[input difference of the middle part (left, right), the inactive mask of the middle part (left, right)]
[0x20, 0x1, 0x0, 0xf02f0f0],
[0x40, 0x2, 0x800, 0x800f0f0],
[0x80, 0x4, 0x400, 0xa70f30f0],
[0x100, 0x8, 0x0, 0xf0],
[0x200, 0x10, 0x0, 0xa00f0f00],
[0x400, 0x20, 0x0, 0x2d0f0f04],
[0x800, 0x40, 0x0, 0x70f50f0a],
[0x1000, 0x80, 0x0, 0x200f00],
[0x2000, 0x100, 0x80e0000, 0xaf0f01e],
[0x4000, 0x200, 0x20000, 0x10f0f00a],
[0x8000, 0x400, 0x0, 0xf10f0a6],
[0x10000, 0x800, 0x0, 0x3000],
[0x20000, 0x1000, 0x200000, 0xf0f00a0],
[0x40000, 0x2000, 0xa0000000, 0xf0f0007],
[0x80000, 0x4000, 0x0, 0xf50f0a70],
[0x100000, 0x8000, 0x0, 0xa00f0000],
[0x200000, 0x10000, 0x0, 0xf0f12f80],
[0x400000, 0x20000, 0x6, 0xf0f00070],
[0x800000, 0x40000, 0x2000000, 0x30f0af0f],
[0x1000000, 0x80000, 0x1000, 0x700000],
[0x2000000, 0x100000, 0x20000000, 0xf00b0af],
[0x4000000, 0x200000, 0x20000000, 0xf00820f],
[0x8000000, 0x400000, 0x0, 0xf0e70ff],
[0x10000000, 0x800000, 0x0, 0xe002000],
[0x20000000, 0x1000000, 0x204, 0xf00a02f0],
[0x40000000, 0x2000000, 0xa04, 0xf00078f0],
[0x80000000, 0x4000000, 0x0, 0xf0e71f30],
[0x1, 0x8000000, 0x0, 0x30000000],
[0x2, 0x10000000, 0x0, 0x8f00f0f],
[0x4, 0x20000000, 0xc000, 0x600f0f],
[0x8, 0x40000000, 0x0, 0xa70f20f],
[0x10, 0x80000000, 0x0, 0xf],
[0x1, 0x0, 0x6e06e0e0, 0xfaffaf0f],
[0x3, 0x0, 0x8e0e0, 0xf0ff2f0f],
[0x5, 0x0, 0xe0e0e0, 0xbfaf0f0f],
[0x9, 0x0, 0x0, 0x800702],
[0x2, 0x0, 0x2060e0e0, 0xfbffaf8f],
[0x6, 0x0, 0xe020, 0xf0ef0f0f],
[0xa, 0x0, 0x0, 0x702],
[0x4, 0x0, 0x40e0e0f0, 0xffff0f0f],
[0xc, 0x0, 0x80000, 0x700],
[0x8, 0x0, 0xa0, 0x2e0af0f],
[0x10, 0x0, 0xe04e0e04, 0xaffef0ff],
[0x30, 0x0, 0x20e0e00, 0xef0f0ff],
[0x50, 0x0, 0xe0e0e02, 0x7af0f0fa],
[0x90, 0x0, 0x0, 0x440f000],
[0x20, 0x0, 0x20e0f02, 0xfffaf0ff],
[0x60, 0x0, 0xe0600, 0xff0f0ff],
[0xa0, 0x0, 0x0, 0xf000],
[0x40, 0x0, 0x4a0e0f02, 0xfff8f0ff],
[0xc0, 0x0, 0x0, 0x7000],
[0x80, 0x0, 0xe00, 0xa0af0f0],
[0x100, 0x0, 0x6e0e04e, 0xffbf0ffb],
[0x300, 0x0, 0xe0e000, 0xff0f0ff1],
[0x500, 0x0, 0xe0e0e020, 0xaf0f0fa7],
[0x900, 0x0, 0x0, 0x80070200],
[0x200, 0x0, 0xe0f04e, 0xffbf0fff],
[0x600, 0x0, 0xe06000, 0xff0f0ff0],
[0xa00, 0x0, 0x0, 0x60000],
[0x400, 0x0, 0xe0e0f0e8, 0xff0f0fff],
[0xc00, 0x0, 0x40000, 0x70000],
[0x800, 0x0, 0xa000, 0xb08f0f08],
[0x1000, 0x0, 0x4e0e0460, 0x7af0ffaf],
[0x3000, 0x0, 0xe0e0000, 0xf0f0ff0f],
[0x5000, 0x0, 0xe0e020e, 0xf0f0fafa],
[0x9000, 0x0, 0x4, 0xf06000],
[0x2000, 0x0, 0x4e0e0020, 0xfaf0ffff],
